Código Município Completo,Nome_Município,UF,CAPAG,Indicador 1,Nota 1,Indicador 2,Nota 2,Indicador 3,Nota 3,ICF
1100015,Alta Floresta D'Oeste,RO,n.e.,"5,27%",A,"95,15%",C,"0,00%",C,Eicf
1100023,Ariquemes,RO,B,"10,81%",A,"90,33%",B,"2,70%",B,Bicf
1100031,Cabixi,RO,A,"0,00%",A,"92,30%",B,"12,66%",A,Cicf
1100049,Cacoal,RO,A,"21,84%",A,"93,19%",B,"5,79%",A,Bicf
1100056,Cerejeiras,RO,A+,"0,68%",A,"88,87%",B,"18,95%",A,Aicf
1100064,Colorado do Oeste,RO,C,"22,42%",A,"97,28%",C,"1,72%",B,Bicf
1100072,Corumbiara,RO,A,"0,00%",A,"82,47%",A,"40,11%",A,Bicf
1100080,Costa Marques,RO,C,"29,24%",A,"95,24%",C,"9,16%",A,Bicf
1100098,Espigão D'Oeste,RO,A+,"4,64%",A,"88,05%",B,"9,26%",A,Aicf
1100106,Guajará-Mirim,RO,A,"37,51%",A,"82,28%",A,"8,01%",A,Cicf
1100114,Jaru,RO,A+,"21,29%",A,"76,90%",A,"23,83%",A,Aicf
1100122,Ji-Paraná,RO,B+,"18,47%",A,"90,79%",B,"3,30%",B,Aicf
1100130,Machadinho D'Oeste,RO,B+,"4,72%",A,"87,88%",B,"2,40%",B,Aicf
1100148,Nova Brasilândia D'Oeste,RO,n.e.,"8,00%",A,"77,66%",A,"0,00%",C,Eicf
1100155,Ouro Preto do Oeste,RO,A,"6,02%",A,"84,06%",A,"7,56%",A,Bicf
1100189,Pimenta Bueno,RO,B+,"3,05%",A,"91,15%",B,"4,00%",B,Aicf
1100205,Porto Velho,RO,A,"32,70%",A,"94,23%",B,"5,71%",A,Bicf
1100254,Presidente Médici,RO,A,"12,21%",A,"92,70%",B,"6,39%",A,Bicf
1100262,Rio Crespo,RO,A,"0,00%",A,"94,40%",B,"5,26%",A,Bicf
1100288,Rolim de Moura,RO,B,"5,18%",A,"87,98%",B,"1,32%",B,Dicf
1100296,Santa Luzia D'Oeste,RO,B,"10,72%",A,"92,39%",B,"3,51%",B,Bicf
1100304,Vilhena,RO,A,"20,46%",A,"86,71%",B,"10,57%",A,Dicf
1100320,São Miguel do Guaporé,RO,A,"0,24%",A,"94,08%",B,"11,57%",A,Cicf
1100338,Nova Mamoré,RO,C,"2,34%",A,"211,19%",C,"3,50%",B,Dicf
1100346,Alvorada D'Oeste,RO,B,"6,75%",A,"85,20%",B,"3,74%",B,Bicf
1100379,Alto Alegre dos Parecis,RO,C,"15,21%",A,"95,59%",C,"6,00%",A,Bicf
1100403,Alto Paraíso,RO,B,"0,00%",A,"90,60%",B,"2,22%",B,Bicf
1100452,Buritis,RO,A,"13,35%",A,"83,48%",A,"9,08%",A,Bicf
1100502,Novo Horizonte do Oeste,RO,n.d.,"7,65%",A,"85,28%",B,n.d.,n.d.,Bicf
1100601,Cacaulândia,RO,A,"1,46%",A,"86,64%",B,"14,73%",A,Bicf
1100700,Campo Novo de Rondônia,RO,A,"27,73%",A,"78,04%",A,"4,29%",B,Bicf
1100809,Candeias do Jamari,RO,C,"7,62%",A,"98,97%",C,"-5,42%",C,Bicf
1100908,Castanheiras,RO,A,"15,96%",A,"83,77%",A,"1,07%",B,Cicf
1100924,Chupinguaia,RO,A+,"1,78%",A,"92,61%",B,"15,12%",A,Aicf
1100940,Cujubim,RO,A,"18,14%",A,"75,57%",A,"3,12%",B,Bicf
1101005,Governador Jorge Teixeira,RO,A,"5,77%",A,"88,86%",B,"7,49%",A,Bicf
1101104,Itapuã do Oeste,RO,A,"6,40%",A,"82,67%",A,"14,55%",A,Bicf
1101203,Ministro Andreazza,RO,A,"0,87%",A,"89,88%",B,"27,69%",A,Cicf
1101302,Mirante da Serra,RO,C,"6,37%",A,"92,67%",B,"-1,21%",C,Bicf
1101401,Monte Negro,RO,B,"11,67%",A,"86,93%",B,"1,30%",B,Bicf
1101435,Nova União,RO,A,"0,00%",A,"79,49%",A,"15,15%",A,Cicf
1101450,Parecis,RO,n.d.,"1,35%",A,"93,11%",B,n.d.,n.d.,Bicf
1101468,Pimenteiras do Oeste,RO,C,"0,00%",A,"103,30%",C,"1,95%",B,Bicf
1101476,Primavera de Rondônia,RO,C,"1,11%",A,"100,86%",C,"-2,14%",C,Bicf
1101484,São Felipe D'Oeste,RO,A,"1,54%",A,"92,54%",B,"12,08%",A,Bicf
1101492,São Francisco do Guaporé,RO,A,"5,32%",A,"84,30%",A,"31,75%",A,Bicf
1101500,Seringueiras,RO,B,"1,11%",A,"86,57%",B,"4,98%",B,Bicf
1101559,Teixeirópolis,RO,A,"0,00%",A,"74,56%",A,"30,74%",A,Cicf
1101609,Theobroma,RO,B,"11,81%",A,"87,19%",B,"1,88%",B,Bicf
1101708,Urupá,RO,A,"9,16%",A,"83,14%",A,"1,72%",B,Bicf
1101757,Vale do Anari,RO,B,"24,26%",A,"94,73%",B,"0,24%",B,Cicf
1101807,Vale do Paraíso,RO,A+,"1,02%",A,"86,08%",B,"6,43%",A,Aicf
1200013,Acrelândia,AC,C,"7,20%",A,"88,15%",B,"-0,79%",C,Bicf
1200054,Assis Brasil,AC,C,"59,75%",A,"86,89%",B,"-1,95%",C,Cicf
1200104,Brasiléia,AC,C,"8,17%",A,"98,42%",C,"-3,01%",C,Bicf
1200138,Bujari,AC,n.d.,"3,56%",A,"88,11%",B,n.d.,n.d.,Cicf
1200179,Capixaba,AC,n.d.,"9,11%",A,"92,46%",B,n.d.,n.d.,Cicf
1200203,Cruzeiro do Sul,AC,C,"10,46%",A,"102,01%",C,"0,36%",B,Cicf
1200252,Epitaciolândia,AC,C,"14,52%",A,"92,58%",B,"-56,04%",C,Cicf
1200302,Feijó,AC,n.d.,"25,42%",A,"102,71%",C,n.d.,n.d.,Cicf
1200328,Jordão,AC,C,"23,58%",A,"96,41%",C,"-1,87%",C,Bicf
1200336,Mâncio Lima,AC,C,"16,27%",A,"96,69%",C,"0,16%",B,Bicf
1200344,Manoel Urbano,AC,C,"19,02%",A,"175,34%",C,"5,78%",A,Cicf
1200351,Marechal Thaumaturgo,AC,B,"23,70%",A,"92,39%",B,"1,72%",B,Cicf
1200385,Plácido de Castro,AC,C,"24,92%",A,"107,17%",C,"-14,73%",C,Bicf
1200393,Porto Walter,AC,C,"16,69%",A,"100,31%",C,"0,20%",B,Bicf
1200401,Rio Branco,AC,A+,"18,72%",A,"89,19%",B,"9,12%",A,Aicf
1200427,Rodrigues Alves,AC,C,"2,64%",A,"98,47%",C,"3,33%",B,Cicf
1200435,Santa Rosa do Purus,AC,C,"3,58%",A,"92,55%",B,"-2,07%",C,Cicf
1200450,Senador Guiomard,AC,C,"36,76%",A,"97,71%",C,"-21,54%",C,Cicf
1200500,Sena Madureira,AC,n.d.,"56,42%",A,"100,84%",C,n.d.,n.d.,Cicf
1200609,Tarauacá,AC,C,"20,72%",A,"99,02%",C,"-2,92%",C,Cicf
1200708,Xapuri,AC,C,"9,24%",A,"94,73%",B,"-0,79%",C,Cicf
1200807,Porto Acre,AC,C,"11,23%",A,"90,51%",B,"-1,01%",C,Cicf
1300029,Alvarães,AM,C,"9,94%",A,"91,97%",B,"-10,34%",C,Cicf
1300060,Amaturá,AM,C,"10,91%",A,"86,35%",B,"-1,41%",C,Bicf
1300086,Anamã,AM,C,"1,74%",A,"99,47%",C,"-8,85%",C,Bicf
1300102,Anori,AM,C,"7,32%",A,"100,35%",C,"-5,51%",C,Cicf
1300144,Apuí,AM,C,"26,66%",A,"98,00%",C,"1,94%",B,Aicf
1300201,Atalaia do Norte,AM,C,"2,78%",A,"97,31%",C,"-3,19%",C,Bicf
1300300,Autazes,AM,C,"0,10%",A,"99,74%",C,"-5,81%",C,Bicf
1300409,Barcelos,AM,n.e.,"10,91%",A,"98,83%",C,n.d.,n.d.,Eicf
1300508,Barreirinha,AM,C,"3,25%",A,"94,54%",B,"-6,42%",C,Cicf
1300607,Benjamin Constant,AM,n.d.,"17,63%",A,"87,81%",B,n.d.,n.d.,Bicf
1300631,Beruri,AM,n.d.,"3,96%",A,"94,32%",B,n.d.,n.d.,Bicf
1300680,Boa Vista do Ramos,AM,C,"29,24%",A,"102,26%",C,"-16,47%",C,Bicf
1300706,Boca do Acre,AM,n.d.,"7,27%",A,"97,76%",C,n.d.,n.d.,Cicf
1300805,Borba,AM,n.d.,"3,32%",A,"90,73%",B,n.d.,n.d.,Cicf
1300839,Caapiranga,AM,C,"3,42%",A,"98,95%",C,"-10,03%",C,Dicf
1300904,Canutama,AM,C,"5,21%",A,"96,75%",C,"-9,56%",C,Bicf
1301001,Carauari,AM,n.d.,"4,91%",A,"98,25%",C,n.d.,n.d.,Bicf
1301100,Careiro,AM,C,"22,87%",A,"102,61%",C,"-27,86%",C,Bicf
1301159,Careiro da Várzea,AM,n.d.,"1,75%",A,"90,38%",B,n.d.,n.d.,Bicf
1301209,Coari,AM,C,"15,40%",A,"95,28%",C,"-1,30%",C,Cicf
1301308,Codajás,AM,A,"0,36%",A,"84,22%",A,"2,17%",B,Cicf
1301407,Eirunepé,AM,C,"35,08%",A,"102,57%",C,"-34,04%",C,Bicf
1301506,Envira,AM,n.d.,"4,29%",A,"99,03%",C,n.d.,n.d.,Bicf
1301605,Fonte Boa,AM,C,"31,80%",A,"97,75%",C,"-16,04%",C,Cicf
1301654,Guajará,AM,C,"10,53%",A,"101,14%",C,"-3,27%",C,Bicf
1301704,Humaitá,AM,C,"14,89%",A,"89,90%",B,"-0,31%",C,Cicf
1301803,Ipixuna,AM,n.d.,"1,96%",A,"97,36%",C,n.d.,n.d.,Bicf
1301852,Iranduba,AM,C,"23,48%",A,"86,96%",B,"-13,62%",C,Cicf
1301902,Itacoatiara,AM,A,"8,34%",A,"92,13%",B,"6,46%",A,Bicf
1301951,Itamarati,AM,C,"3,51%",A,"95,20%",C,"-13,48%",C,Bicf
1302009,Itapiranga,AM,C,"20,44%",A,"97,66%",C,"-6,69%",C,Bicf
1302108,Japurá,AM,C,"10,39%",A,"97,46%",C,"0,00%",C,Cicf
1302207,Juruá,AM,n.d.,"14,72%",A,"98,60%",C,n.d.,n.d.,Cicf
1302306,Jutaí,AM,C,"4,85%",A,"100,55%",C,"-12,05%",C,Bicf
1302405,Lábrea,AM,n.d.,n.d.,n.d.,"99,00%",C,n.d.,n.d.,Dicf
1302504,Manacapuru,AM,C,"0,29%",A,"98,61%",C,"-33,69%",C,Cicf
1302553,Manaquiri,AM,C,"10,79%",A,"92,83%",B,"-0,59%",C,Cicf
1302603,Manaus,AM,B,"44,19%",A,"89,34%",B,"2,18%",B,Bicf
1302702,Manicoré,AM,C,"13,71%",A,"87,81%",B,"-13,38%",C,Cicf
1302801,Maraã,AM,n.d.,"6,15%",A,"92,90%",B,n.d.,n.d.,Bicf
1302900,Maués,AM,n.d.,"37,62%",A,"99,50%",C,n.d.,n.d.,Cicf
1303007,Nhamundá,AM,n.d.,"2,35%",A,"99,35%",C,n.d.,n.d.,Cicf
1303106,Nova Olinda do Norte,AM,n.d.,"14,57%",A,"90,60%",B,n.d.,n.d.,Bicf
1303205,Novo Airão,AM,C,"0,00%",A,"95,66%",C,"-8,44%",C,Cicf
1303304,Novo Aripuanã,AM,n.d.,"5,18%",A,"90,82%",B,n.d.,n.d.,Cicf
1303403,Parintins,AM,C,"0,94%",A,"96,40%",C,"-3,06%",C,Cicf
1303502,Pauini,AM,C,"2,47%",A,"98,08%",C,"-53,33%",C,Cicf
1303536,Presidente Figueiredo,AM,C,"4,51%",A,"93,50%",B,"-0,95%",C,Bicf
1303569,Rio Preto da Eva,AM,C,"1,29%",A,"108,06%",C,"-26,92%",C,Bicf
1303601,Santa Isabel do Rio Negro,AM,C,"12,69%",A,"99,68%",C,"-12,81%",C,Bicf
1303700,Santo Antônio do Içá,AM,C,"10,33%",A,"98,21%",C,"-9,79%",C,Bicf
1303809,São Gabriel da Cachoeira,AM,n.d.,"37,58%",A,"104,22%",C,n.d.,n.d.,Dicf
1303908,São Paulo de Olivença,AM,C,"0,50%",A,"93,14%",B,"-6,90%",C,Cicf
1303957,São Sebastião do Uatumã,AM,C,"9,25%",A,"96,10%",C,"-1,71%",C,Bicf
1304005,Silves,AM,n.d.,"6,47%",A,"90,06%",B,n.d.,n.d.,Bicf
1304062,Tabatinga,AM,n.d.,"15,40%",A,"85,04%",B,n.d.,n.d.,Cicf
1304104,Tapauá,AM,C,"5,19%",A,"101,71%",C,"-11,21%",C,Bicf
1304203,Tefé,AM,C,"11,84%",A,"97,89%",C,"-13,08%",C,Bicf
1304237,Tonantins,AM,C,"18,92%",A,"100,18%",C,"-11,09%",C,Bicf
1304260,Uarini,AM,C,"0,44%",A,"98,16%",C,"-12,16%",C,Cicf
1304302,Urucará,AM,C,"4,12%",A,"97,10%",C,"-2,45%",C,Bicf
1304401,Urucurituba,AM,n.d.,"4,22%",A,"99,55%",C,n.d.,n.d.,Dicf
